Processing dataset: Chesapeake Bay_tax_mass
Processing with k = 10
WLNM...
Subgraph Pattern Encoding Begins...
Subgraph Pattern Encoding Progress 10%...
Subgraph Pattern Encoding Progress 20%...
Subgraph Pattern Encoding Progress 30%...
Subgraph Pattern Encoding Progress 40%...
Subgraph Pattern Encoding Progress 50%...
Subgraph Pattern Encoding Progress 60%...
Subgraph Pattern Encoding Progress 70%...
Subgraph Pattern Encoding Progress 80%...
Subgraph Pattern Encoding Progress 90%...
Subgraph Pattern Encoding Begins...
Subgraph Pattern Encoding Progress 10%...
Subgraph Pattern Encoding Progress 20%...
Subgraph Pattern Encoding Progress 30%...
Subgraph Pattern Encoding Progress 40%...
Subgraph Pattern Encoding Progress 50%...
Subgraph Pattern Encoding Progress 60%...
Subgraph Pattern Encoding Progress 70%...
Subgraph Pattern Encoding Progress 80%...
Subgraph Pattern Encoding Progress 90%...
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:00 |       35.16% |       0.7673 |          0.1000 |
|       1 |          50 |       00:00:00 |       73.44% |       0.5596 |          0.1000 |
|       1 |         100 |       00:00:00 |       73.44% |       0.5630 |          0.1000 |
|       1 |         150 |       00:00:00 |       77.34% |       0.4849 |          0.1000 |
|       2 |         200 |       00:00:00 |       84.38% |       0.3885 |          0.1000 |
|       2 |         250 |       00:00:00 |       66.41% |       0.5530 |          0.1000 |
|       2 |         300 |       00:00:00 |       79.69% |       0.4902 |          0.1000 |
|       3 |         350 |       00:00:00 |       81.25% |       0.3985 |          0.1000 |
|       3 |         400 |       00:00:00 |       82.81% |       0.4209 |          0.1000 |
|       3 |         450 |       00:00:00 |       82.81% |       0.3805 |          0.1000 |
|       4 |         500 |       00:00:00 |       76.56% |       0.4894 |          0.1000 |
|       4 |         550 |       00:00:00 |       81.25% |       0.4559 |          0.1000 |
|       4 |         600 |       00:00:00 |       80.47% |       0.4139 |          0.1000 |
|       5 |         650 |       00:00:00 |       77.34% |       0.5371 |          0.1000 |
|       5 |         700 |       00:00:00 |       84.38% |       0.4005 |          0.1000 |
|       5 |         750 |       00:00:01 |       76.56% |       0.5068 |          0.1000 |
|       5 |         800 |       00:00:01 |       79.69% |       0.4600 |          0.1000 |
|       6 |         850 |       00:00:01 |       75.00% |       0.5170 |          0.1000 |
|       6 |         900 |       00:00:01 |       74.22% |       0.5300 |          0.1000 |
|       6 |         950 |       00:00:01 |       77.34% |       0.4572 |          0.1000 |
|       7 |        1000 |       00:00:01 |       84.38% |       0.3954 |          0.1000 |
|       7 |        1050 |       00:00:01 |       68.75% |       0.5294 |          0.1000 |
|       7 |        1100 |       00:00:01 |       77.34% |       0.4942 |          0.1000 |
|       8 |        1150 |       00:00:01 |       80.47% |       0.3634 |          0.1000 |
|       8 |        1200 |       00:00:01 |       82.81% |       0.3956 |          0.1000 |
