Score,Label
0.5209393,1
2.461164e-05,1
0.3272274,1
0.3272274,1
0.3272274,1
0.2001983,1
0.3560421,1
0.3272274,1
0.8494794,1
0.3272274,1
0.7454347,1
0.5354722,1
0.5354722,1
0.8237121,1
0.5209393,1
0.5209393,1
0.9272897,1
0.08474262,1
0.7454347,1
0.2833233,1
0.6688434,1
0.452835,1
0.0287046,1
0.02560927,1
0.8237121,1
9.569951e-07,1
0.5114826,1
0.1845776,1
0.1845776,1
0.7498996,1
0.7933999,1
0.5209393,1
0.5209393,1
0.5209393,1
0.5209393,1
0.8237121,1
0.5209393,1
0.8237121,1
0.82648,1
0.3272274,1
0.3272274,1
0.5209393,1
0.5209393,1
0.1629757,1
1.772287e-07,1
3.376504e-11,1
0.3272274,1
1.944374e-15,1
0.8237121,1
0.8293797,1
0.8237121,1
0.8237121,1
0.5209393,1
0.9109766,1
0.5630288,1
2.054721e-08,1
0.8083344,1
0.5139158,1
0.8899637,1
0.8899637,1
0.8451208,1
0.8237121,1
0.8293797,1
0.8656222,1
0.7976834,1
0.8237121,1
0.8656222,1
0.8237121,1
0.5209393,1
0.3272274,1
0.08777914,1
0.8466846,1
0.005399464,1
0.8451208,1
0.9379293,1
0.7217068,1
0.7217068,1
0.5209393,1
0.5209393,1
0.5209393,1
0.5209393,1
0.2001983,1
0.8451208,1
0.2001983,1
0.8911336,1
0.9562232,1
0.5575982,1
0.02282321,1
0.2942476,1
0.8451208,1
0.8466846,1
0.1072839,1
0.7409353,1
0.8694265,1
0.1278033,1
0.5209393,1
0.5209393,1
0.3272274,1
0.8741087,1
0.04036309,1
0.5209393,1
0.5209393,1
0.5209393,1
0.3272274,1
0.5209393,1
0.5209393,1
0.5209393,1
0.5209393,1
0.5209393,1
0.5209393,1
0.8237121,1
0.5209393,1
0.5209393,1
0.5209393,1
0.5209393,1
0.9382961,1
0.9558505,1
0.3272274,1
0.9873653,1
0.3272274,1
0.3272274,1
0.3272274,1
0.8899637,1
0.1072839,1
0.9873653,1
0.9593139,1
0.9593139,1
0.8873681,1
0.8741087,1
0.9144684,1
0.0002343538,1
0.2663265,1
0.2663265,1
0.2630163,1
0.4974133,1
0.2001983,1
0.3272274,1
0.3272274,1
0.5209393,1
0.3272274,1
0.8104629,1
0.3272274,1
0.9800029,1
0.996677,1
0.5209393,1
0.5209393,1
0.5209393,1
0.5209393,1
0.8857955,1
0.8873681,1
0.8873681,1
0.9090394,1
0.1073116,1
0.3454209,1
0.2482533,1
0.998567,1
0.9903983,1
0.2482533,1
0.9199926,1
0.2000562,1
0.5920822,1
0.8899637,1
0.5114826,1
0.8873681,1
0.8451208,1
0.3039132,1
0.1073116,1
0.1073116,1
0.09251101,1
0.3272274,1
0.2865745,1
0.2218315,1
0.3272274,1
0.3272274,1
0.6351351,1
0.02039316,1
0.9873653,1
0.5209393,1
0.5209393,1
0.8293797,1
0.09251101,1
0.3272274,1
0.7981117,1
0.7981117,1
0.02430389,1
0.7981117,1
0.8935469,1
0.9197265,1
0.8741087,1
0.8683653,1
0.8857955,1
0.7981117,1
0.8451208,1
0.8246688,1
0.0007101413,1
0.3272274,1
0.3272274,1
0.3272274,1
0.1072839,1
0.9617334,1
0.8949391,1
0.2587641,1
0.4435512,1
0.5139158,1
0.1687764,1
0.0234092,1
0.5209393,1
0.4974133,1
0.1072839,1
0.3272274,1
0.5114826,1
0.2512423,1
0.2512423,1
0.4974133,1
0.5223231,1
0.1072839,1
0.9610995,1
0.9610995,1
0.3272274,1
0.3272274,1
0.9562232,1
0.8857955,1
0.8466846,1
0.8899637,1
0.8873681,1
0.3272274,1
0.7326863,1
0.1845776,1
0.2001983,1
0.3272274,1
0.5944208,1
0.2001983,1
0.3272274,1
0.5139158,1
0.3272274,1
0.8683653,1
0.3272274,1
0.4974133,1
0.8683653,1
0.8683653,1
0.9249987,1
0.3272274,1
0.8857955,1
2.345802e-10,1
0.8857955,1
0.8857955,1
0.9422156,1
0.8857955,1
0.9222804,1
0.8899637,1
2.803221e-08,1
0.2180209,1
0.1072839,1
0.09251101,1
0.8293797,1
0.9740937,1
0.2360639,1
0.3449442,1
0.8237121,1
0.2512423,1
0.8487914,1
0.8293797,1
0.4708983,1
0.9142753,1
0.8515469,1
0.5375436,1
0.8413587,1
0.5209393,1
0.5209393,1
0.8237121,1
0.8382624,1
0.8293797,1
0.2001983,1
0.3272274,1
0.8656222,1
0.2001983,1
0.3272274,1
0.3272274,1
0.9836233,1
0.2812004,1
0.8652551,1
0.5631567,1
0.4183119,1
0.4183119,1
0.140706,1
0.9687362,1
0.8868955,1
0.07439581,1
0.9043956,1
0.9096979,1
0.9765197,1
0.6986729,1
0.4197254,1
0.5209393,1
0.7004942,1
0.1273542,1
0.9949201,1
0.0009083193,1
0.6559237,1
0.9108816,1
0.7941669,1
0.8779849,1
0.4197254,1
0.6241818,1
0.9270434,1
0.6666321,1
5.654071e-12,1
0.9442237,1
0.9410989,1
0.8950731,1
0.3272274,1
0.6620038,1
0.3757836,1
0.5139158,1
0.5139158,1
0.4974133,1
0.7718287,1
0.5143891,1
0.3272274,1
0.3272274,1
0.3272274,1
0.8293797,1
0.5209393,1
0.8191765,1
